poolId,ticker,stakeAmount,"21,513,965,191,494,200",Cumulative,Bifrost stakeAmount,"17,242,689,233,737,000",Cumulative,51%
pool1dl4695wfl79k7gtzt87gsf8gsqeq97yzuvaq0d4zxhz6c0nlf4g,BD2,"53,843,655,928,558",0.25%,44.58%,"53,843,655,928,558",0.25%,32.14%,
pool1up53z2kadt6l5xs359ckx477rpyvyg3favh25qrhqt2ujclpq3h,,"53,585,141,890,280",0.25%,44.83%,,0.00%,32.14%,
pool1mt8sdg37f2h3rypyuc77k7vxrjshtvjw04zdjlae9vdzyt9uu34,ABLE,"53,359,226,817,412",0.25%,45.08%,"53,359,226,817,412",0.25%,32.39%,
pool1wt0pf4u2xktp0f7apveu242w6nkm4ltk3m8g039lvuhwq4zdtf3,ECO,"52,938,120,503,553",0.25%,45.32%,"52,938,120,503,553",0.25%,32.64%,
pool1y6gnk7t3n6rvpr67f68mehxgqs5x24n0esz9l5j7m4aqzn4e0qw,N/A,"52,830,918,057,182",0.25%,45.57%,"52,830,918,057,182",0.25%,32.88%,
pool1qqqqdktl6pq46td0mwut0qn30g7nlue0sete9wxl0hwsq37wrw8,STR8,"52,055,223,827,239",0.24%,45.81%,"52,055,223,827,239",0.24%,33.13%,
pool1z7n2ruhmxmv77f6cqhd3wsy6774h2wuay77agxuf2y9mj8q55vw,1PCT2,"52,040,409,013,291",0.24%,46.05%,"52,040,409,013,291",0.24%,33.37%,
pool1lhz4gsk5ezdl5s4mv2kxgrkhzzhad6me2v0xmwuyt845vensdlc,SECUR,"51,909,194,323,532",0.24%,46.29%,"51,909,194,323,532",0.24%,33.61%,
pool1w7c2j0px43jmudhf48ezp7dy8j7904c9l3wc7809lhh2z026hch,STAT,"51,841,986,075,924",0.24%,46.53%,"51,841,986,075,924",0.24%,33.85%,
pool1a23gmvalpdams9d42t7fur8vmknzjv7wd3nsvuvrc7dv66lnau0,AOS,"51,808,100,343,673",0.24%,46.77%,"51,808,100,343,673",0.24%,34.09%,
pool1ell3xjtspzzz4vtsatscan6rheltf7j3hh2s8qsam2h3jvcxzm9,OCEA4,"51,492,578,775,442",0.24%,47.01%,"51,492,578,775,442",0.24%,34.33%,
